MGI_ID,MGI_Symbol
MGI:87853,a
MGI:87854,Pzp
MGI:87859,Abl1
MGI:87860,Abl2
MGI:87862,Scgb1b27
MGI:87863,Scgb2b27
MGI:87864,Scgb2b26
MGI:87866,Acadl
MGI:87867,Acadm
MGI:87868,Acads
MGI:87870,Acat1
MGI:87871,Acat2
MGI:87873,Acd
MGI:87874,Ace
MGI:87876,Ache
MGI:87878,Apoc4
MGI:87879,Aco1
MGI:87880,Aco2
MGI:87881,Acp1
MGI:87882,Acp2
MGI:87883,Acp5
MGI:87884,Acr
MGI:87885,Chrna1
MGI:87886,Chrna2
MGI:87887,Chrna3
MGI:87888,Chrna4
MGI:87889,Chrna5
MGI:87890,Chrnb1
MGI:87891,Chrnb2
MGI:87892,Chrnb4
MGI:87893,Chrnd
MGI:87894,Chrne
MGI:87895,Chrng
MGI:87902,Acta1
MGI:87904,Actb
MGI:87905,Actc1
MGI:87906,Actg1
MGI:87909,Acta2
MGI:87912,Acvr2b
MGI:87913,Acy1
MGI:87914,Aspa
MGI:87916,Ada
MGI:87917,Adcy6
MGI:87918,Add1
MGI:87919,Add2
MGI:87920,Plin2
MGI:87921,Adh1
MGI:87926,Adh7
MGI:87929,Adh5
MGI:87930,Adk
MGI:87931,Cfd
MGI:87934,Adra2a
MGI:87935,Adra2b
MGI:87936,Adra2c
MGI:87937,Adrb1
MGI:87938,Adrb2
MGI:87939,Adrb3
MGI:87940,Grk2
MGI:87941,Grk3
MGI:87947,Adssl1
MGI:87948,Adss
MGI:87951,Afp
MGI:87961,Agrn
MGI:87963,Agt
MGI:87964,Agtr1a
MGI:87965,Agtr1b
MGI:87966,Agtr2
MGI:87968,Ahcy
MGI:87971,Ahi1
MGI:87977,Ak1
MGI:87978,Ak2
MGI:87979,Ak4
MGI:87983,Alpl
MGI:87984,Akp3
MGI:87986,Akt1
MGI:87989,Alas1
MGI:87990,Alas2
MGI:87991,Alb
MGI:87994,Aldoa
MGI:87995,Aldob
MGI:87999,Alox5
MGI:88002,Ambp
MGI:88004,Amd1
MGI:88005,Amelx
MGI:88006,Amh
MGI:88015,Ampd1
MGI:88016,Ampd2
MGI:88017,Mat1a
MGI:88019,Amy1
MGI:88020,Amy2a5
MGI:88022,Ang
MGI:88024,Ank1
MGI:88025,Ank2
MGI:88026,Ank3
MGI:88030,Anxa4
MGI:88031,Anxa7
MGI:88034,Prdx3
MGI:88035,Aox1
MGI:88038,Fabp4
MGI:88039,Apc
MGI:88041,Apeh
MGI:88042,Apex1
MGI:88046,Aplp1
MGI:88047,Aplp2
MGI:88049,Apoa1
MGI:88050,Apoa2
MGI:88051,Apoa4
MGI:88052,Apob
MGI:88053,Apoc1
MGI:88054,Apoc2
MGI:88055,Apoc3
MGI:88056,Apod
MGI:88057,Apoe
MGI:88058,Apoh
MGI:88059,App
MGI:88061,Aprt
MGI:88064,Ar
MGI:88065,Araf
MGI:88067,Arc
MGI:88068,Areg
MGI:88070,Arg1
MGI:88071,Arnt
MGI:88075,Arsb
MGI:88077,Arsa
MGI:88081,Asgr1
MGI:88082,Asgr2
MGI:88084,Asl
MGI:88090,Ass1
MGI:88095,Serpinc1
MGI:88096,Atf4
MGI:88105,Atp1a1
MGI:88106,Atp1a2
MGI:88107,Atp1a3
MGI:88108,Atp1b1
MGI:88109,Atp1b2
MGI:88110,Atp2a2
MGI:88111,Atp2b4
MGI:88113,Atp4a
MGI:88114,Atp4b
MGI:88115,Atp5a1
MGI:88116,Atp6v0c
MGI:88117,Slc7a1
MGI:88121,Avp
MGI:88123,Avpr2
MGI:88127,B2m
MGI:88133,Zbtb12
MGI:88137,Bckdhb
MGI:88138,Bcl2
MGI:88139,Bcl2l1
MGI:88140,Bcl3
MGI:88141,Bcr
MGI:88144,Bdkrb1
MGI:88145,Bdnf
MGI:88151,Glb1
MGI:88155,Bglap3
MGI:88156,Bglap
MGI:88157,Bglap2
MGI:88158,Bgn
MGI:88169,Blk
MGI:88170,Blvra
MGI:88174,Bmi1
MGI:88175,Manba
MGI:88176,Bmp1
MGI:88177,Bmp2
MGI:88179,Bmp3
MGI:88180,Bmp4
MGI:88181,Bmp5
MGI:88182,Bmp6
MGI:88184,Bmyc
MGI:88190,Braf
MGI:88208,Bsg
MGI:88215,Btg1
MGI:88216,Btk
MGI:88218,Commd3
MGI:88222,Tspo
MGI:88223,C1qa
MGI:88224,C1qb
MGI:88225,C1qc
MGI:88226,C2
MGI:88227,C3
MGI:88228,C4b
MGI:88229,C4bp
MGI:88232,C5ar1
MGI:88233,C6
MGI:88235,C7
MGI:88236,C8b
MGI:88237,C8g
MGI:88246,Anxa2
MGI:88248,Calb1
MGI:88250,Cald1
MGI:88251,Calm1
MGI:88252,Calr
MGI:88253,Car8
