OMIM_ID	type	ENSID
100640	gene	ENSG00000165092
100650	gene/phenotype	ENSG00000111275
100660	gene	ENSG00000108602
100670	gene	ENSG00000137124
100678	gene	ENSG00000120437
100690	gene	ENSG00000138435
100710	gene	ENSG00000170175
100720	gene	ENSG00000135902
100725	gene	ENSG00000108556
100730	gene	ENSG00000196811
100740	gene	ENSG00000087085
100790	gene	ENSG00000139352
100850	gene	ENSG00000100412
100880	gene	ENSG00000122729
102480	gene	ENSG00000100312
102525	gene	ENSG00000134940
102540	gene	ENSG00000159251
102545	gene	ENSG00000163017
102560	gene	ENSG00000184009
102565	gene	ENSG00000128591
102573	gene	ENSG00000077522
102574	gene	ENSG00000248746
102575	gene	ENSG00000072110
102576	gene	ENSG00000115170
102577	gene	ENSG00000163918
102578	gene	ENSG00000140464
102579	gene	ENSG00000035928
102581	gene	ENSG00000121989
102582	gene	ENSG00000168610
102593	gene	ENSG00000136250
102595	gene	ENSG00000170634
102600	gene	ENSG00000198931
102610	gene	ENSG00000143632
102620	gene	ENSG00000107796
102630	gene	ENSG00000075624
102642	gene	ENSG00000057252
102645	gene	ENSG00000164062
102670	gene	ENSG00000099866
102680	gene	ENSG00000087274
102681	gene	ENSG00000075340
102720	gene	ENSG00000197635
102750	gene	ENSG00000156110
102770	gene	ENSG00000116748
102771	gene	ENSG00000116337
102772	gene	ENSG00000133805
102775	gene	ENSG00000163485
102776	gene	ENSG00000128271
102910	gene	ENSG00000110955
102980	gene	ENSG00000141433
102981	gene	ENSG00000078549
103000	gene	ENSG00000106992
103020	gene	ENSG00000004455
103030	gene	ENSG00000162433
103060	gene	ENSG00000035687
103070	gene	ENSG00000155897
103071	gene	ENSG00000078295
103072	gene	ENSG00000164742
103180	gene	ENSG00000143761
103188	gene	ENSG00000004059
103190	gene	ENSG00000134287
103195	gene	ENSG00000147872
103220	gene	ENSG00000151729
103260	gene	ENSG00000137714
103270	gene	ENSG00000161513
103275	gene	ENSG00000148926
103280	gene	ENSG00000130600
103320	gene	ENSG00000188157
103390	gene	ENSG00000124942
103600	gene	ENSG00000163631
103700	gene	ENSG00000187758
103710	gene	ENSG00000197894
103720	gene	ENSG00000196616
103730	gene	ENSG00000248144
103735	gene	ENSG00000172955
103740	gene	ENSG00000198099
103830	gene	ENSG00000117448
103850	gene	ENSG00000149925
103870	gene	ENSG00000109107
103880	gene	ENSG00000085662
103890	gene	
103950	gene	ENSG00000175899
104145	gene	ENSG00000079557
104150	gene	ENSG00000081051
104155	gene	ENSG00000140836
104160	gene	ENSG00000089597
104170	gene	ENSG00000198951
104175	gene	ENSG00000204136
104180	gene	ENSG00000214013
104210	gene	ENSG00000150594
104219	gene	ENSG00000171873
104220	gene	ENSG00000170214
104221	gene	ENSG00000120907
104225	gene	ENSG00000163956
104230	gene	ENSG00000196371
104240	gene	ENSG00000110080
104250	gene/phenotype	ENSG00000184160
104260	gene	ENSG00000274286
104311	gene	ENSG00000080815
104610	gene	ENSG00000002726
104613	gene	ENSG00000146731
104614	gene	ENSG00000138079
104615	gene	ENSG00000139514
104620	gene	ENSG00000243989
104640	gene	ENSG00000109321
104650	gene	ENSG00000243480
104660	gene	ENSG00000240038
104700	gene	ENSG00000237763
104701	gene	ENSG00000174876
104702	gene	ENSG00000187733
104750	gene	ENSG00000173432
104751	gene	ENSG00000134339
104752	gene	ENSG00000148965
104760	gene	ENSG00000142192
104770	gene	ENSG00000132703
104775	gene	ENSG00000105290
104776	gene	ENSG00000084234
105590	gene	ENSG00000171094
105850	gene	ENSG00000214274
106150	gene/phenotype	ENSG00000135744
106165	gene	ENSG00000144891
106180	gene/phenotype	ENSG00000159640
106195	gene	ENSG00000114923
106410	gene	ENSG00000145362
106490	gene	ENSG00000138772
106491	gene	ENSG00000196975
107254	gene	
107265	gene	ENSG00000177455
107266	gene	ENSG00000012124
107269	gene	ENSG00000026508
107270	gene	ENSG00000004468
107271	gene	ENSG00000085063
107272	gene	ENSG00000137101
107273	gene	ENSG00000110848
107280	gene	ENSG00000196136
107285	gene	ENSG00000124107
107300	gene	ENSG00000117601
107310	gene	ENSG00000090020
107323	gene	ENSG00000164904
107325	gene	ENSG00000117877
107400	gene	ENSG00000197249
107450	gene	ENSG00000142166
107470	gene	ENSG00000027697
107580	gene	ENSG00000137203
107670	gene/phenotype	ENSG00000158874
107680	gene	ENSG00000118137
107690	gene	ENSG00000110244
107710	gene	ENSG00000130208
107720	gene	ENSG00000110245
107730	gene	ENSG00000084674
107740	gene	ENSG00000189058
107741	gene	ENSG00000130203
107748	gene	ENSG00000100823
107760	gene	ENSG00000175336
107770	gene	ENSG00000123384
107773	gene	ENSG00000185551
107776	gene	ENSG00000240583
107777	gene	ENSG00000167580
107820	gene	ENSG00000113643
107830	gene	ENSG00000081181
107910	gene	ENSG00000137869
107930	gene	ENSG00000132437
107940	gene	ENSG00000137486
107941	gene	ENSG00000141480
108330	gene	ENSG00000140465
108345	gene	ENSG00000171428
108355	gene	ENSG00000177885
108360	gene	ENSG00000141505
108361	gene	ENSG00000161944
108370	gene	ENSG00000070669
108410	gene	ENSG00000134440
108728	gene	ENSG00000131473
108729	gene	ENSG00000165629
108730	gene	ENSG00000196296
108731	gene	ENSG00000070961
108732	gene	ENSG00000058668
108733	gene	ENSG00000157087
108740	gene	ENSG00000174437
108745	gene	ENSG00000185883
