PeakID (cmd=annotatePeaks.pl ENCFF558YNC.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_1	chr2	45109122	45110395	+	1000	NA	intron (NR_149354, intron 2 of 2)	CpG	519	NM_001289521	24136	Mm.440702	NM_015753	ENSMUSG00000026872	Zeb2	9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b	zinc finger E-box binding homeobox 2	protein-coding
Peak_2	chr2	38339160	38340065	+	902	NA	5' UTR (NM_001290646, exon 1 of 5)	5' UTR (NM_001290646, exon 1 of 5)	331	NM_001290646	16870	Mm.142856	NM_010710	ENSMUSG00000000247	Lhx2	LH2A|Lh-2|Lim2|ap|apterous	LIM homeobox protein 2	protein-coding
Peak_3	chr1	4491879	4492042	+	894	NA	exon (NM_001289465, exon 4 of 4)	exon (NM_001289465, exon 4 of 4)	5394	NM_011441	20671	Mm.279103	NM_011441	ENSMUSG00000025902	Sox17	-	SRY (sex determining region Y)-box 17	protein-coding
Peak_4	chr8	12384437	12387435	+	883	NA	non-coding (NR_027975, exon 1 of 8)	non-coding (NR_027975, exon 1 of 8)	165	NR_027975	434280	Mm.447484	NM_001013812	ENSMUSG00000047935	Sox1ot	EG434280|Gm5607	Sox1 overlapping transcript	ncRNA
Peak_5	chr2	147084549	147086149	+	863	NA	promoter-TSS (NM_023504)	promoter-TSS (NM_023504)	-4	NM_023504	228731	Mm.315498	NM_023504	ENSMUSG00000054160	Nkx2-4	1700001P03Rik|Nkx-2.4|tinman	NK2 homeobox 4	protein-coding
Peak_6	chr19	45741830	45743035	+	811	NA	exon (NM_010205, exon 2 of 5)	exon (NM_010205, exon 2 of 5)	452	NM_010205	14179	Mm.4012	NM_010205	ENSMUSG00000025219	Fgf8	Aigf|Fgf-8	fibroblast growth factor 8	protein-coding
Peak_7	chr10	80494144	80495939	+	777	NA	exon (NM_139226, exon 1 of 2)	exon (NM_139226, exon 1 of 2)	135	NM_139226	246086	Mm.250572	NM_139226	ENSMUSG00000045518	Onecut3	OC-3|Oc3	one cut domain, family member 3	protein-coding
Peak_8	chrX	169993958	169994268	+	757	NA	Intergenic	CpG	-15196	NR_029457	654820	Mm.34441	NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
Peak_9	chr9	63147419	63149449	+	754	NA	intron (NM_001163758, intron 1 of 8)	intron (NM_001163758, intron 1 of 8)	527	NM_001163758	207667	Mm.36349	NM_172446	ENSMUSG00000022245	Skor1	AV273001|C230094B15Rik|Corl1|Lbxcor1	SKI family transcriptional corepressor 1	protein-coding
Peak_10	chr13	38345741	38346998	+	748	NA	exon (NM_007556, exon 1 of 7)	exon (NM_007556, exon 1 of 7)	653	NM_007556	12161	Mm.385759	NM_007556	ENSMUSG00000039004	Bmp6	D13Wsu115e|Vgr1	bone morphogenetic protein 6	protein-coding
Peak_11	chr2	174328316	174328819	+	748	NA	5' UTR (NM_001310083, exon 2 of 13)	5' UTR (NM_001310083, exon 2 of 13)	653	NR_003258	14683	Mm.125770	NM_010309	ENSMUSG00000027523	Gnas	5530400H20Rik|A930027G11Rik|C130027O20Rik|GPSA|GSP|Galphas|Gnas1|Gnasxl|Gs-alpha|Gsa|Nesp|Nesp55|Nespl|Oed-Sml|Oedsml|P1|P2|P3|PHP1A|PHP1B|POH|SCG6	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	protein-coding
Peak_12	chr6	52190754	52191814	+	728	NA	exon (NM_008265, exon 1 of 2)	exon (NM_008265, exon 1 of 2)	419	NM_008265	15401	Mm.439647	NM_008265	ENSMUSG00000000942	Hoxa4	AV206827|Hox-1.4	homeobox A4	protein-coding
Peak_13	chr9	111311334	111312919	+	728	NA	exon (NM_001164659, exon 1 of 22)	exon (NM_001164659, exon 1 of 22)	387	NM_001164659	320429	Mm.270754	NM_001164659	ENSMUSG00000062296	Trank1	A230061D21Rik|C030048J01Rik|Gm187|Lba1	tetratricopeptide repeat and ankyrin repeat containing 1	protein-coding
